Fúria Sniper, Ação, 4.2
Sniper 3D, Ação, 4.5
Super Mario Run, Ação, 3.8
Archero, Ação, 4.5
Temple Run 2, Ação, 4.4
FreeCell, Cartas, 4.5
Solitário, Cartas, 4.7
Buraco, Cartas, 4.5
Paciência, Cartas, 4.4
Corrida de Rua 3D, Corrida, 4.4
Correndo no carro, Corrida, 3.9
Corrida de Moto Real 3D, Corrida, 4.2
Real Racing 3, Corrida, 4.5
Fifa Futebol, Esportes, 4.1
Snowboard Master 3D, Esportes, 4.3
Pes 2019, Esportes, 4.2
Estalido Tênis 3D, Esportes, 4.4
Basketball, Esportes, 4.4
The Journey Jogo de surf, Esportes, 4.0
Futebol, Esportes, 2.8
Xadrez, Estratégia, 4.2
Influence, Estratégia, 4.0
Crazy Chef, Estratégia, 4.6
Atirador de Bolhas, Estratégia, 4.4
Narcos, Estratégia, 4.6
CodyCross, Palavras, 4.5
Words of Wonders, Palavras, 4.6
Caça-palavras, Palavras, 4.5
Palavras Conectadas, Palavras, 4.7
Pilha Palavras, Palavras, 4.7
Sudoku, Quebra-cabeça, 4.8
Energy, Quebra-cabeça, 4.7
Jewels clássico , Quebra-cabeça, 4.5
Spot Conect, Quebra-cabeça, 4.5
Block Puzzle, Quebra-cabeça, 4.5
Nova Fantasia , RPG, 4.1
Exiled Kingdoms, RPG, 4.6
Evil Lands, RPG, 4.4
Order & Chaos 2, RPG, 3.9
Vampire’s Fall, RPG, 4.6
